Title,Russian Keywords,Annotation,Link,Title_found_phrases,Russian Keywords_found_phrases,Annotation_found_phrases
"['влияние', 'пожар', 'флористический', 'разнообразие', 'сосновый', 'лес', 'восточный', 'забайкалье']","['забайкалье', 'сосновый', 'лес', 'климат', 'пожар', 'флористический', 'разнообразие']","['показать', 'влияние', 'обширный', 'неоднократный', 'лесной', 'пожар', 'флористический', 'разнообразие', 'сосновый', 'лес', 'типичный', 'лесостепной', 'зона', 'восточный', 'забайкалье', 'общий', 'характеристика', 'сосновый', 'бор', 'провести', 'материал', 'лесоустройство', 'воздействие', 'обширный', 'пожар', 'современный', 'состояние', 'площадь', 'нарушить', 'участок', 'лес', 'выявить', 'помощь', 'космический', 'снимок', 'полевой', 'исследование', 'метод', 'пробный', 'площадь', 'определить', 'флористический', 'состав', 'длительный', 'время', 'гореть', 'находиться', 'разный', 'стадий', 'восстановительный', 'сукцессия', 'пожар', 'растительный', 'сообщество', 'оценка', 'биоразнообразие', 'использовать', 'индекс', 'концентрация', 'видовой', 'богатство', 'индекс', 'редкий', 'растение', 'доля', 'лесной', 'адвентивный', 'вид', 'растение', 'установить', 'сосновый', 'массив', 'сформировать', 'разнообразный', 'тип', 'лес', 'доминировать', 'площадь', 'сосняк', 'рододендроновый', 'сосняк', 'злаков', 'разнотравный', 'занимать', 'малый', 'площадь', 'сосняк', 'осоковый', 'горный', 'каменистый', 'багульниковый', 'приручейный', 'приходиться', 'общий', 'площадь', 'соотношение', 'площадь', 'моной', 'олигодоминатный', 'лес', 'определенный', 'степень', 'связать', 'направление', 'склон', 'площадь', 'занятой', 'монодоминантный', 'лес', 'большой', 'площадь', 'олигодоминантный', 'лес', 'склон', 'северо', 'западный', 'юго', 'западный', 'экспозиция', 'это', 'южный', 'северный', 'западный', 'восточный', 'склон', 'больший', 'площадь', 'занимать', 'олигодоминантный', 'лес', 'возникновение', 'обширный', 'лесной', 'пожар', 'состав', 'лесной', 'массив', 'составлять', 'молодняк', 'средневозрастной', 'насаждение', 'приспевать', 'древостой', 'приходиться', 'около', 'спелый', 'перестойный', 'весь', 'лесопокрытый', 'площадь', 'соотношение', 'возрастной', 'группа', 'насаждение', 'пожар', 'измениться', 'мало', 'однако', 'погибнуть', 'старовозрастной', 'насаждение', 'возраст', 'год', 'количество', 'вид', 'растение', 'длительно', 'гореть', 'участок', 'лес', 'достоверно', 'большой', 'гарь', 'вырубка', 'культура', 'сосна', 'индекс', 'концентрация', 'видовой', 'богатство', 'выше', 'вырубка', 'длительно', 'гореть', 'насаждение', 'воздействие', 'пожар', 'индекс', 'редкий', 'вид', 'гарь', 'снизиться', 'длительно', 'гореть', 'насаждение', 'гарь', 'произойти', 'увеличение', 'доля', 'адвентивный', 'вид', 'растение', 'также', 'растение', 'характерный', 'степной', 'сообщество', 'результат', 'исследование', 'установить', 'лесной', 'пожар', 'привести', 'значительный', 'снижение', 'лесистость', 'площадь', 'длительно', 'гореть', 'лес', 'уникальный', 'плантация', 'древесный', 'растение', 'видовой', 'разнообразие', 'индекс', 'концентрация', 'видовой', 'богатство', 'редкий', 'вид', 'доля', 'участие', 'растительный', 'сообщество', 'лесной', 'вид', 'также', 'засорение', 'растительный', 'сообщество', 'чужеродный', 'вид', 'гарь', 'результат', 'работа', 'мочь', 'использовать', 'оценка', 'влияние', 'климатический', 'изменение', 'пожар', 'биологический', 'разнообразие', 'лесной', 'сообщество', 'регион', 'разработка', 'мероприятие', 'сохранение', 'биоразнообразие', 'планирование', 'рубка', 'лес', 'лесовосстановительный', 'работа']",https://cyberleninka.ru/article/n/vliyanie-pozharov-na-floristicheskoe-raznoobrazie-sosnovyh-lesov-vostochnogo-zabaykalya,,,климатический изменение
"['долговременный', 'мониторинг', 'наземный', 'сообщество', 'птица', 'насекомое', 'баргузинский', 'заповедник', 'результат', 'перспектива']","['долговременный', 'мониторинг', 'учет', 'численность', 'население', 'животное', 'птица', 'жужелица', 'баргузинский', 'хребет', 'байкал']","['рассмотреть', 'результат', 'долговременный', 'мониторинг', 'наземный', 'сообщество', 'животное', 'территория', 'баргузинский', 'заповедник', 'мониторинг', 'сообщество', 'птица', 'выполняться', 'постоянный', 'учетный', 'маршрут', 'долина', 'река', 'побережье', 'озеро', 'байкал', 'высокогорье', 'баргузинский', 'хребет', 'мониторинг', 'наземный', 'насекомое', 'жужелица', 'выполняться', 'постоянный', 'учетный', 'площадка', 'высота', 'уровень', 'море', 'выявить', 'зависимость', 'структура', 'население', 'птица', 'население', 'жужелица', 'метеорологический', 'фактор', 'текущий', 'предыдущий', 'год', 'исследование', 'получить', 'долговременный', 'ряд', 'наблюдение', 'позволять', 'выявлять', 'отклик', 'биота', 'пример', 'модельный', 'группа', 'птица', 'насекомое', 'климатический', 'изменение', 'регион', 'озеро', 'байкал']",https://cyberleninka.ru/article/n/dolgovremennyy-monitoring-nazemnyh-soobschestv-ptits-i-nasekomyh-v-barguzinskom-zapovednike-rezultaty-i-perspektivy,,,климатический изменение
"['многолетний', 'динамика', 'улов', 'численность', 'биомасса', 'популяция', 'судак', 'белый', 'озеро']","['судак', 'корюшка', 'улов', 'численность', 'биомасса', 'популяция', 'белый', 'озеро']","['конец', 'белый', 'озеро', 'являться', 'водоем', 'снетковый', 'судачий', 'тип', 'рыбный', 'население', 'связь', 'высокий', 'объем', 'улов', 'судак', 'корюшка', 'межгодовой', 'колебание', 'который', 'правило', 'осуществляться', 'синхронно', 'рассмотреть', 'динамика', 'вылов', 'судак', 'корюшка', 'белый', 'начинать', 'наблюдаться', 'сокращение', 'объем', 'добыча', 'доля', 'общий', 'улов', 'основной', 'показатель', 'многолетний', 'колебание', 'численность', 'биомасса', 'популяция', 'судак', 'белый', 'принять', 'средний', 'вылов', 'приходиться', 'лов', 'научно', 'исследовательский', 'трал', 'основной', 'причина', 'многолетний', 'сокращение', 'количественный', 'характеристика', 'популяция', 'корюшка', 'судак', 'являться', 'глобальный', 'потепление', 'климат', 'год', 'жаркий', 'сухой', 'лето', 'происходить', 'быстрый', 'сокращение', 'биомасса', 'корюшка', 'приводить', 'резкий', 'ухудшение', 'кормовой', 'баз', 'судак', 'период', 'масштабный', 'сокращение', 'численность', 'биомасса', 'улов', 'судак', 'корюшка', 'белый', 'длиться', 'год', 'отмечаться', 'фон', 'резкий', 'сокращение', 'численность', 'корюшка', 'белый', 'озеро', 'появиться', 'урожайный', 'поколение', 'судак', 'стать', 'мощный', 'фактор', 'популяционный', 'дисбаланс', 'резко', 'возрасти', 'численность', 'маломерный', 'рыба', 'быстрый', 'уменьшение', 'промысловый', 'биомасса', 'популяция', 'свой', 'очередь', 'привести', 'значительный', 'сокращение', 'улов', 'целое', 'сохранение', 'тенденция', 'климатический', 'изменение', 'проявляться', 'потепление', 'климат', 'возникать', 'угроза', 'потеря', 'будущее', 'промысловый', 'статус', 'популяция', 'корюшка', 'судак', 'белый', 'озеро']",https://cyberleninka.ru/article/n/mnogoletnyaya-dinamika-ulovov-chislennosti-i-biomassy-populyatsii-sudaka-sanderlucioperca-l-belogo-ozera,,,климатический изменение
"['метод', 'расчет', 'углеродный', 'баланс', 'лесной', 'экосистема', 'глобальный', 'изменение', 'климат']","['волжскии', 'бассеин', 'лесной', 'экосистема', 'изменение', 'климат', 'базовый', 'содержание', 'углерод', 'прогнозируемыи', 'углеродныи', 'баланс', 'метод', 'расчет']","['пример', 'волжский', 'бассеиич', 'разработать', 'методический', 'подход', 'определение', 'углеродный', 'баланс', 'лесной', 'биогеосистема', 'объем', 'поглощение', 'парниковый', 'газ', 'прогнозировать', 'глобальный', 'изменение', 'климат', 'изложить', 'процедура', 'расчет', 'составлять', 'углеродный', 'баланс', 'лесной', 'ассоциации', 'формации', 'основа', 'материал', 'крупномасштабный', 'ландшафтноэкологический', 'съемка', 'провести', 'гидротермический', 'ординация', 'парциальный', 'суммарный', 'содержание', 'углерод', 'бореальной', 'неморальнолесный', 'биогеоценоз', 'выявить', 'критический', 'состояние', 'зональный', 'тип', 'лес', 'южнои', 'граница', 'бореальный', 'пояс']",https://cyberleninka.ru/article/n/metody-raschetov-uglerodnogo-balansa-lesnyh-ekosistem-pri-globalnyh-izmeneniyah-klimata,углеродный баланс,,"парниковый газ, углеродный баланс"
"['состояние', 'динамика', 'биологический', 'сообщество', 'рыбинский', 'водохранилище', 'условие', 'изменение', 'климат']","['фитопланктон', 'хлорофилл', 'зоопланктон', 'структура', 'динамика', 'сообщество', 'изменение', 'климат', 'рыбинский', 'водохранилище', 'верхний', 'волга']","['основа', 'анализ', 'многолетний', 'данные', 'структурный', 'характеристика', 'фито', 'зоопланктон', 'также', 'содержание', 'хлорофилл', 'вода', 'донный', 'отложение', 'рыбинский', 'водохранилище', 'верхний', 'волга', 'россия', 'показать', 'современный', 'климатический', 'изменение', 'приводить', 'трансформация', 'состояние', 'динамик', 'биологический', 'сообщество', 'водохранилище', 'характернои', 'увеличение', 'трофия', 'пресноводный', 'экосистема', 'аномально', 'жаркий', 'год', 'выявить', 'резкии', 'подъем', 'концентрация', 'хлорофилл', 'вода', 'преобладание', 'величина', 'характерный', 'эвтрофный', 'высокоэвтрофный', 'вода', 'распределение', 'растительный', 'пигмент', 'донный', 'отложение', 'разный', 'год', 'сходный', 'отражать', 'характерный', 'водохранилище', 'специфика', 'структура', 'грунтовый', 'комплекс', 'сезоннои', 'динамика', 'биомасса', 'фитопланктон', 'концентрация', 'хлорофилл', 'летнии', 'максимум', 'обусловленныи', 'развитие', 'цианобактерии', 'стать', 'доминировать', 'весенний', 'структура', 'фитопланктон', 'увеличиться', 'пропорция', 'цианобактерии', 'миксотрофный', 'фитофлагеллят', 'отметить', 'инвазия', 'солоноватый', 'водный', 'диатомовый', 'уменьшение', 'размер', 'клетка', 'сезоннои', 'динамика', 'биомасса', 'зоопланктон', 'сформироваться', 'второи', 'позднелетнии', 'август', 'пик', 'максимально', 'проявившиися', 'аномально', 'жаркий', 'лето', 'кроме', 'наблюдаться', 'смещение', 'неделя', 'срок', 'начало', 'окончание', 'сезонный', 'цикл', 'ряд', 'вид', 'зоопланктон', 'относительно', 'появление', 'летний', 'дефицит', 'растворить', 'кислород', 'слой', 'дно', 'привести', 'локальный', 'изменение', 'вертикальный', 'распределение', 'ракообразный', 'фильтратор', 'снижение', 'обилие']",https://cyberleninka.ru/article/n/sostoyanie-i-dinamika-biologicheskih-soobschestv-rybinskogo-vodohranilischa-v-usloviyah-izmeneniya-klimata,,,климатический изменение
"['интродукция', 'груша', 'песчаный', 'приморский', 'край']","['груша', 'песчаный', 'климат', 'продуктивность', 'зимостойкость', 'болезнь', 'приморский', 'край', 'интродукция']","['культура', 'груша', 'приморский', 'край', 'новый', 'настоящий', 'время', 'малораспространенный', 'прошлое', 'представить', 'сорт', 'северянка', 'тема', 'шурановка', 'явиться', 'следствие', 'сортоиспытание', 'селекция', 'иметь', 'должный', 'развитие', 'сортовый', 'районировать', 'ассортимент', 'крайне', 'скудный', 'садоводство', 'приморский', 'край', 'это', 'особый', 'климатический', 'зона', 'выживать', 'местный', 'адаптированный', 'сорт', 'необходимый', 'беспрерывный', 'отбор', 'процесс', 'сортообновление', 'проблема', 'улучшение', 'сортимент', 'мочь', 'решить', 'путь', 'привлечение', 'культура', 'новый', 'вид', 'приморский', 'край', 'груша', 'песчаный', 'характеризоваться', 'скороплодность', 'устойчивость', 'болезнь', 'длительный', 'лежкость', 'плод', 'также', 'введение', 'сортимент', 'край', 'интродуцированный', 'сорт', 'агроклиматический', 'регион', 'широкий', 'адаптивный', 'потенциал', 'абиотический', 'биотический', 'стресс', 'связанный', 'местный', 'климатический', 'изменение', 'статья', 'представить', 'результат', 'многолетний', 'изучение', 'образец', 'китайский', 'песчаный', 'груша', 'выделить', 'год', 'изучение', 'комплекс', 'хозяйственно', 'ценный', 'признак', 'коллекция', 'груша', 'песчаный', 'наиболее', 'перспективный', 'сортообразец', 'являться', 'обладать', 'высокий', 'адаптивность', 'сочетание', 'хороший', 'продуктивность', 'качество', 'плод', 'условие', 'муссонный', 'климат', 'приморский', 'край', 'селекция', 'отдельный', 'признак', 'рекомендоваться', 'сортообразец', 'зимостойкость', 'урожайность', 'вкусовой', 'качество', 'плод', 'японка', 'срок', 'хранение', 'японка', 'сдержанный', 'рост', 'японка', 'комплекс', 'хозяйственно', 'ценный', 'признак', 'выделить']",https://cyberleninka.ru/article/n/introduktsiya-grushi-peschanoy-v-primorskom-krae,,,климатический изменение
"['новый', 'сведение', 'птица', 'береговой', 'зона', 'севастополь']","['птица', 'севастополь', 'крымский', 'полуостров', 'черный', 'море']","['берег', 'прибрежный', 'акватория', 'севастополь', 'являться', 'место', 'наиболее', 'многочисленный', 'крым', 'зимний', 'скопление', 'гидрофильный', 'птица', 'транзитный', 'район', 'отдых', 'кормежка', 'перелетный', 'птица', 'также', 'гнездовый', 'биотоп', 'некоторый', 'вид', 'результат', 'орнитологический', 'исследование', 'провести', 'бухта', 'северный', 'часть', 'гераклейский', 'полуостров', 'севастополь', 'крымский', 'полуостров', 'черный', 'море', 'год', 'получить', 'новый', 'данные', 'вид', 'птица', 'вид', 'белохвостый', 'песочник', 'белощекий', 'черный', 'крачка', 'впервые', 'отметить', 'севастопольский', 'регион', 'восемь', 'вид', 'красношейный', 'поганка', 'серый', 'утка', 'большой', 'крохаль', 'обыкновенный', 'погоныш', 'травник', 'перевозчик', 'большой', 'веретенник', 'обыкновенный', 'зимородок', 'уточнить', 'распространение', 'срок', 'пролет', 'зимовка', 'вид', 'средиземноморский', 'чаек', 'выявить', 'новый', 'пункт', 'гнездование', 'антропогенный', 'биотоп', 'впервые', 'установить', 'гнездование', 'испанский', 'каменка', 'севастополь', 'интерес', 'представлять', 'зимний', 'встреча', 'зимородок', 'ранее', 'отметить', 'это', 'время', 'год', 'середина', 'век', 'впервые', 'год', 'севастополь', 'наблюдаться', 'обыкновенный', 'погоныш', 'уточнить', 'современный', 'статус', 'красношейный', 'поганка', 'малочисленный', 'регулярно', 'зимовать', 'пролетный', 'птица', 'также', 'серый', 'уток', 'редкий', 'зимовать', 'весеннепролетный', 'птица', 'сведение', 'редкий', 'малоизученный', 'птица', 'севастополь', 'число', 'численность', 'район', 'постоянный', 'временной', 'обитание', 'биотопический', 'распределение', 'динамика', 'миграция', 'поведение', 'представлять', 'интерес', 'уточнение', 'современный', 'природоохранный', 'статус', 'вид', 'данный', 'регион', 'выявление', 'экологический', 'особенность', 'обитание', 'редкий', 'птица', 'иметь', 'важный', 'значение', 'оценка', 'влияние', 'антропогенный', 'трансформация', 'биотоп', 'климатический', 'изменение', 'состояние', 'популяция', 'вид', 'птица', 'севастополь', 'крым']",https://cyberleninka.ru/article/n/novye-svedeniya-o-ptitsah-beregovoy-zony-sevastopolya,,,климатический изменение
"['климатический', 'изменение', 'современный', 'состояние', 'биота', 'российский', 'вода', 'дальневосточный', 'море']","['климатический', 'цикл', 'биой', 'рыбопродуктивность', 'дальневосточный', 'море', 'биоресурсы', 'лимитировать', 'фактор', 'динамика', 'численность', 'современный', 'потепление']","['статья', 'продолжать', 'дискуссия', 'лимитировать', 'влияние', 'климатический', 'условие', 'динамика', 'численность', 'тихоокеанский', 'лосось', 'также', 'состояние', 'биологический', 'ресурс', 'дальневосточный', 'море', 'обосновываться', 'вывод', 'неправомерно', 'изучение', 'сложный', 'многофакторный', 'воздействие', 'климато', 'гидрологический', 'условие', 'популяция', 'сообщество', 'ограничиваться', 'климатический', 'индекс', 'аномалия', 'поверхностный', 'температура', 'вод', 'океан', 'холодный', 'время', 'год', 'сопоставление', 'запас', 'биоресурсы', 'различный', 'район', 'дальневосточный', 'море', 'делаться', 'вывод', 'современный', 'потепление', 'благоприятно', 'отразиться', 'состояние', 'устойчивость', 'сырьевой', 'баз', 'рыболовство']",https://cyberleninka.ru/article/n/klimaticheskie-izmeneniya-i-sovremennoe-sostoyanie-bioty-rossiyskih-vod-dalnevostochnyh-morey,климатический изменение,,
"['жизненный', 'цикл', 'рачок', 'онежский', 'озеро']","['зоопланктон', 'популяция', 'возрастной', 'структура', 'сезонный', 'динамика', 'лимнический', 'гетерогенность', 'модель', 'сглаживание']","['условие', 'климатический', 'изменение', 'антропогенный', 'нагрузка', 'особый', 'актуальность', 'приобретать', 'исследование', 'годовой', 'цикличность', 'планктон', 'основный', 'компонент', 'веслоногий', 'рачок', 'являться', 'массовый', 'вид', 'пелагический', 'зоопланктон', 'онежский', 'озеро', 'важный', 'кормовой', 'объект', 'рыба', 'планктофаг', 'основа', 'многолетний', 'наблюдение', 'выполнить', 'анализ', 'жизненный', 'цикл', 'популяция', 'рачок', 'центральный', 'олиготрофный', 'район', 'озеро', 'крупный', 'петрозаводский', 'залив', 'течение', 'весь', 'год', 'планктон', 'встречаться', 'круглогодично', 'зима', 'отметить', 'копеподит', 'стадий', 'который', 'зимовать', 'придонный', 'слой', 'подледный', 'период', 'численность', 'рачок', 'составлять', 'экзм', 'биомасса', 'показать', 'центральный', 'часть', 'водоем', 'популяционный', 'динамика', 'иметь', 'дициклический', 'характер', 'залив', 'благоприятный', 'температурный', 'режим', 'рачок', 'возможный', 'дия', 'трицикличность', 'среднемноголетний', 'максимум', 'популяция', 'центр', 'озеро', 'численность', 'достигать', 'тыс', 'экзм', 'биомасса', 'величина', 'популяция', 'петрозаводский', 'губа', 'сходный', 'численность', 'тыс', 'экзм', 'биомасса', 'соответственно', 'июнь', 'неблагоприятный', 'гидрохимический', 'условие', 'залив', 'угнетать', 'развитие', 'рачок', 'вызывать', 'задержка', 'количественный', 'развитие', 'сравнение', 'данные', 'прошлый', 'век', 'показать', 'несмотря', 'колебание', 'антропогенный', 'нагрузка', 'климатический', 'изменение', 'наблюдать', 'последний', 'десятилетие', 'заметный', 'изменение', 'характер', 'годовой', 'цикличность', 'произойти']",https://cyberleninka.ru/article/n/zhiznennyy-tsikl-rachka-thermocyclops-oithonoides-sars-1863-v-onezhskom-ozere,,,климатический изменение
"['экологический', 'пластичность', 'орехоплодный', 'культура', 'коллекция', 'фнц', 'агроэкология', 'ран']","['экологический', 'пластичность', 'орехоплодный', 'культура', 'лимитировать', 'фактор', 'изменчивость', 'признак', 'каштановый', 'почва', 'фнц', 'агроэкология', 'ран']","['показать', 'актуальность', 'изучение', 'экологический', 'пластичность', 'древесный', 'растение', 'связь', 'необходимость', 'подбор', 'адаптированный', 'видовой', 'состав', 'дерево', 'кустарник', 'защитный', 'лесной', 'насаждение', 'условие', 'климатический', 'изменение', 'установить', 'экологический', 'пластичность', 'предел', 'толерантность', 'растение', 'связать', 'свойство', 'организм', 'адаптироваться', 'иной', 'диапазон', 'фактор', 'среда', 'статья', 'представить', 'таксономический', 'состав', 'орехоплодный', 'культура', 'коллекция', 'фнц', 'агроэкология', 'ран', 'это', 'шесть', 'вид', 'род', 'вид', 'род', 'аmericana', 'сорт', 'президент', 'футкура', 'черкесский', 'привести', 'сведение', 'положительный', 'опыт', 'культивирование', 'плантационный', 'насаждение', 'посадка', 'рядовой', 'схема', 'размещение', 'условие', 'южный', 'чернозем', 'цель', 'исследование', 'изучить', 'экологический', 'пластичность', 'орехоплодный', 'кустарник', 'коллекция', 'фнц', 'агроэкология', 'ран', 'пример', 'родовой', 'комплекс', 'получить', 'материал', 'экологический', 'пластичность', 'орехоплодный', 'кустарник', 'условие', 'каштановый', 'кадастр', 'светлокаштановый', 'почва', 'установить', 'уровень', 'изменчивость', 'морфологический', 'признак', 'ассимиляционный', 'аппарат', 'плод', 'сорт', 'который', 'согласоваться', 'зить', 'засухоустойчивость', 'кластерный', 'анализ', 'позволить', 'выявить', 'корреляция', 'признак', 'уровень', 'значимость', 'цель', 'защитный', 'лесоразведение', 'озеленение', 'засушливый', 'район', 'рекомендовать', 'черкесский', 'выраженный', 'вариабельность', 'морфологический', 'признак', 'который', 'указывать', 'широкий', 'экологический', 'валентность', 'адаптационный', 'возможность', 'рассматривать', 'условие']",https://cyberleninka.ru/article/n/ekologicheskaya-plastichnost-orehoplodnyh-kultur-kollektsiy-fnts-agroekologii-ran,,,климатический изменение
