Год,Ссылка
2022,https://cyberleninka.ru/article/n/covid-19-human-crisis-and-challenge
2022,https://cyberleninka.ru/article/n/the-role-of-tashkent-in-the-development-of-tourism
2022,https://cyberleninka.ru/article/n/problemy-gorodskih-lesov-i-perspektivy-formirovaniya-ekologicheskih-parkov-na-primere-irkutskogo-akademgorodka
2022,https://cyberleninka.ru/article/n/vosstanovlenie-ekonomiki-karabaha-i-vostochnogo-zangezura-na-osnove-kotseptsiy-ustoychivogo-i-inklyuzivnogo-razvitiya
2022,https://cyberleninka.ru/article/n/osnovnye-trendy-razvitiya-tsentralno-aziatskogo-regiona-v-formate-novoy-realnosti
2022,https://cyberleninka.ru/article/n/the-role-and-place-of-kazakhstan-in-eaeu-integration-processes
2022,https://cyberleninka.ru/article/n/vozmozhnosti-tsirkuliruyuschego-razvitiya-dlya-obespecheniya-territorialno-otraslevoy-tehnologicheskoy-sinergii-i
2022,https://cyberleninka.ru/article/n/kazahstan-v-sisteme-mezhdunarodnyh-otnosheniy-islamskogo-mira
2022,https://cyberleninka.ru/article/n/analysis-of-cooperation-of-the-eu-and-eaeu
2022,https://cyberleninka.ru/article/n/sovremennoe-sostoyanie-i-perspektivy-mezhregionalnogo-sotrudnichestva-uzbekistana-na-evraziyskom-prostranstve
2022,https://cyberleninka.ru/article/n/aktualnoe-sostoyanie-i-perspektivy-gumanitarnogo-sotrudnichestva-gosudarstv-chlenov-eaes-i-respubliki-serbiya-v-usloviyah-deystviya
2022,https://cyberleninka.ru/article/n/tsivilizatsionnoe-samoopredelenie-i-integratsionnye-protsessy-stran-eaes-kak-osnova-stabilnosti-na-territorii-bolshoy-evrazii
2022,https://cyberleninka.ru/article/n/analiz-stepeni-integrirovannosti-kitayskih-kompaniy-v-transportnyy-sektor-gosudarstv-tsentralnoy-azii
2022,https://cyberleninka.ru/article/n/kak-preodolet-zamedlenie-integratsionnyh-protsessov-na-territorii-bolshoy-evrazii-v-svyazi-s-pandemiey-covid-19
2022,https://cyberleninka.ru/article/n/turizmning-noodatiy-turlar
2022,https://cyberleninka.ru/article/n/jahonda-imkoniyati-cheklanganlar-turizmi-va-o-zbekistonda-tadbiq-qilish
2022,https://cyberleninka.ru/article/n/sovremennye-tendentsii-urbanizatsii-i-demograficheskogo-razvitiya-gorodov-kazahstana
2022,https://cyberleninka.ru/article/n/osobennosti-sotrudnichestva-territoriy-v-konkurentnom-ekonomicheskom-prostranstve
2022,https://cyberleninka.ru/article/n/umnye-goroda-opyt-rossii-i-kitaya
2022,https://cyberleninka.ru/article/n/mezhregionalnoe-sotrudnichestvo-regionov-uzbekistana-so-stranami-eaes-tekuschee-sostoyanie-i-perspektivy
2022,https://cyberleninka.ru/article/n/evropeyskiy-opyt-razvitiya-mezhdunarodnyh-transportnyh-koridorov-i-uroki-dlya-rossii
2022,https://cyberleninka.ru/article/n/na-puti-vypolneniya-strategicheskih-tseley
2022,https://cyberleninka.ru/article/n/ustoychivoe-razvitie-selskih-territoriy-v-regionalnoy-ekonomike-strany
2022,https://cyberleninka.ru/article/n/the-essence-structure-and-importance-of-tourism-infrastructure
2022,https://cyberleninka.ru/article/n/prerequisites-and-requirements-for-architectural-spatial-organization-of-newly-formed-territorial-communities-of-recreational
2022,https://cyberleninka.ru/article/n/measures-to-ensure-safe-tourism-carried-out-by-the-tourist-police-in-the-republic-of-uzbekistan
2022,https://cyberleninka.ru/article/n/ekonomicheskie-voprosy-selskohozyaystvennogo-zemlepolzovaniya-v-respublike-uzbekistan
2022,https://cyberleninka.ru/article/n/general-features-of-pilgrim-and-extreme-tourism-and-prospects-for-general-development
2022,https://cyberleninka.ru/article/n/the-development-of-agrotourism
2022,https://cyberleninka.ru/article/n/tourism-cluster
2022,https://cyberleninka.ru/article/n/ishlo-h-zhaligini-i-tisodiy-geografik-zhi-atdan-rayonlashtirish-masalalari
2022,https://cyberleninka.ru/article/n/zheleznodorozhnye-zakonodatelnye-pakety-es-pravovaya-osnova-dlya-razvitiya-zheleznodorozhnogo-transporta
2022,https://cyberleninka.ru/article/n/from-the-history-of-international-relations-of-uzbekistan
2022,https://cyberleninka.ru/article/n/k-voprosu-o-novyh-formah-urbanizatsii-v-kontekste-zadach-upravleniya-prostranstvennym-razvitiem-v-respublike-kareliya
2022,https://cyberleninka.ru/article/n/otsenka-vnutriregionalnoy-asimmetrii-selskohozyaystvennogo-proizvodstva-vologodskoy-oblasti
2022,https://cyberleninka.ru/article/n/problemy-organizatsii-osobyh-ekonomicheskih-zon-turistsko-rekreatsionnogo-tipa-v-regionah-rossii
2022,https://cyberleninka.ru/article/n/transportno-ekonomicheskie-kontrasty-eniseyskoy-sibiri
2022,https://cyberleninka.ru/article/n/ob-osnovah-razvitiya-ekonomiki-aziatskoy-rossii
2022,https://cyberleninka.ru/article/n/umnyy-gorod-i-territoriya-preodolenie-strukturnogo-razryva
2022,https://cyberleninka.ru/article/n/mayatnikovye-migratsii-naseleniya-i-strategiya-ustoychivogo-razvitiya-periferiynyh-prigorodnyh-rayonov-g-habarovska
2022,https://cyberleninka.ru/article/n/ustoychivoe-razvitie-munitsipalnyh-obrazovaniy-1
2022,https://cyberleninka.ru/article/n/osobennosti-gradostroitelnogo-planirovaniya-germanii-na-primere-drezdena
2022,https://cyberleninka.ru/article/n/k-voprosu-o-vneshney-politike-kazahstana-strany-musulmanskogo-mira
2022,https://cyberleninka.ru/article/n/prioritety-sotsialno-ekonomicheskogo-razvitiya-munitsipalnogo-obrazovaniya-gorod-krasnodar
2022,https://cyberleninka.ru/article/n/differentsiatsiya-sotsialno-ekonomicheskogo-razvitiya-munitsipalnyh-obrazovaniy-respubliki-tyva-kak-faktor-vliyaniya-na-upravlenie
2022,https://cyberleninka.ru/article/n/asean-community-issues-and-prospects
2022,https://cyberleninka.ru/article/n/koridory-razvitiya-teoreticheskie-aspekty-i-mezhdunarodnyy-opyt
2022,https://cyberleninka.ru/article/n/hudud-imidjini-ni-shakllantirishning-nazariy-uslubiy-asoslari
2022,https://cyberleninka.ru/article/n/lapis-lazuli-corridor-and-its-future
2022,https://cyberleninka.ru/article/n/examining-fruit-and-vegetables-sector-and-ways-of-promotion-of-uzbek-fruit-and-vegetables-in-foreign-markets
2022,https://cyberleninka.ru/article/n/selskoe-hozyaystvo-frantsii-problemy-i-perspektivy-razvitiya
2022,https://cyberleninka.ru/article/n/razvitie-ekologicheskogo-turizma-na-osobo-ohranyaemyh-prirodnyh-territoriyah-rossiyskiy-i-zarubezhnyy-opyt
2022,https://cyberleninka.ru/article/n/zemleustroitelnoe-kadastrovoe-i-kartograficheskoe-obespechenie-ustoychivogo-funktsionirovaniya-agropromyshlennogo-kompleksa
2022,https://cyberleninka.ru/article/n/metodika-vnedreniya-predlozheniy-po-korrektirovke-sotsialno-ekonomicheskogo-razvitiya-gradostroitelnoy-sredy-g-tyumeni
2022,https://cyberleninka.ru/article/n/sovershenstvovanie-otsenki-zemel-pri-provedenii-zemleustroystva
2022,https://cyberleninka.ru/article/n/k-voprosu-vydeleniya-osobo-tsennyh-produktivnyh-selskohozyaystvennyh-ugodiy-v-rossii
2022,https://cyberleninka.ru/article/n/rol-gosudarstva-v-razvitii-turizma-i-deyatelnosti-industrii
2022,https://cyberleninka.ru/article/n/zheleznodorozhnaya-diplomatiya-knr-v-otnoshenii-asean
2022,https://cyberleninka.ru/article/n/otsenka-turisticheskogo-potentsiala-turizma-respubliki-uzbekistan
2022,https://cyberleninka.ru/article/n/otsenka-prioritetnosti-kompensatsionnyh-proektov-razlichnymi-gruppami-naseleniya-pri-promyshlennom-osvoenii-arktiki
2022,https://cyberleninka.ru/article/n/issledovanie-osobennostey-zemlepolzovaniya-s-uchetom-razvitiya-regionalnyh-i-gorodskih-territoriy
2022,https://cyberleninka.ru/article/n/printsipialnye-podhody-k-prostranstvennoy-organizatsii-severnyh-i-arkticheskih-territoriy
2022,https://cyberleninka.ru/article/n/vygody-regionalnoy-integratsii-peresmotr-kontseptsii
2022,https://cyberleninka.ru/article/n/kaliningrad-and-the-lithuanian-geopolitical-code
2022,https://cyberleninka.ru/article/n/vliyanie-ntsmu-na-strukturu-regionalnogo-innovatsionnogo-razvitiya
2022,https://cyberleninka.ru/article/n/trehstoronnee-sotrudnichestvo-kitay-mongoliya-rossiya-razvitie-transportnogo-koridora
2022,https://cyberleninka.ru/article/n/perspektivy-uchastiya-respubliki-tyva-v-razvitii-chernoy-metallurgii-aziatskoy-rossii
2022,https://cyberleninka.ru/article/n/osobennosti-i-perspektivy-razvitiya-zapadnogo-planirovochnogo-sektora-prigorodnoy-zony-sankt-peterburgskoy-gorodskoy-aglomeratsii
2022,https://cyberleninka.ru/article/n/regional-policy-as-a-significant-element-of-ensuring-the-national-security-of-the-russian-federation
2022,https://cyberleninka.ru/article/n/k-voprosu-ob-ekonomicheskih-posledstviyah-konfliktov-prirodopolzovaniya-v-pribrezhnoy-zone-baltiyskogo-morya
2022,https://cyberleninka.ru/article/n/perspektivy-rasshireniya-i-razvitiya-eaes
2022,https://cyberleninka.ru/article/n/turkey-is-building-a-new-canal-to-the-black-sea-possible-consequences
2022,https://cyberleninka.ru/article/n/the-situation-of-syrian-refugees-in-lebanon-challenges-and-prospects
2022,https://cyberleninka.ru/article/n/iran-under-new-us-sanctions
2022,https://cyberleninka.ru/article/n/at-home-among-strangers-migrants-in-german-politics
2022,https://cyberleninka.ru/article/n/uzbekistan-problemy-sovremennoy-modernizatsii-vodnogo-i-selskogo-hozyaystva
2022,https://cyberleninka.ru/article/n/perspektivy-razvitiya-turizma-v-munitsipalnyh-obrazovaniyah-rossiyskoy-federatsii-glazami-naseleniya
2022,https://cyberleninka.ru/article/n/transformatsiya-tseley-razvitiya-arkticheskoy-zony-rossiyskoy-federatsii
2022,https://cyberleninka.ru/article/n/componential-and-integrated-assessment-of-the-potential-of-mongolic-national-cultural-tourism-resources
2022,https://cyberleninka.ru/article/n/povyshenie-effektivnosti-mehanizmov-upravleniya-territorialno-otraslevoy-sotsialno-ekonomicheskoy-sistemoy-regiona
