Title,Authors,Journal,Year,Field of Science,Russian Keywords,English Keywords,Annotation,GOST,APA,Link
ОЦЕНКА ОТКЛИКА НА ИЗМЕНЕНИЕ КЛИМАТА В ОПЫТАХ С ПРОИСХОЖДЕНИЯМИ PICEA ABIES (L.) KARST. × P. OBOVATA (LEDEB.) НА СЕВЕРЕ РУССКОЙ РАВНИНЫ,"Наквасина Е.Н., Прожерина Н.А.",Известия высших учебных заведений. Лесной журнал,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","ель, изменение климата, отклик на изменение климата, реакция на изменение климата, высота ели, диаметр ели, географические происхождения, север русской равнины",,"Изучена внутривидовая реакция ели обыкновенной (Picea abies (L.) Karst. × P. obovata (Ledeb.)) на климатические изменения на основе данных о росте 15 климатипов в 31-летних географических культурах севера Русской равнины (Архангельская и Вологодская области), имитирующих потепление и похолодание. Сравнили фактические высоту и диаметр в пункте испытания и расчетную высоту в местах произрастания исходных насаждений, определенную путем перерасчета фактических данных о росте потомства через широтные коэффициенты роста, предложенные И.В. Волосевичем для севера Русской равнины. Разница между расчетными и фактическими показателями роста соответствующего климатипа в пункте испытания составила отклик климатипа на изменение условий произрастания. Отклик сопоставляли с различиями в климатических характеристиках (сумма эффективных температур выше 10 ºС) и географических координатах мест происхождения и мест произрастания ели. Ель имеет примерно одинаковую норму реакции при перемещении потомства на равную величину градиента (северная широта) к югу или к северу и при изменении климатического фактора (сумма температур выше 10 ºС) в сторону потепления или похолодания. При изменении суммы температур выше 10 ºС на каждые 100 ºС разница в приросте по высоте и диаметру будет составлять 0,48 м и 0,42 см соответственно. На каждый градус изменения северной широты - в среднем 0,50 м и 0,44 см по высоте и диаметру соответственно. Для происхождений из подзоны северной тайги, преимущественно представленных елью сибирской (P. obovata), отклик реакции вида будет в 2 раза ниже, чем для происхождений ели гибридной (Picea abies (L.) Karst. × P. obovata (Ledeb.)) из подзоны средней тайги. Рассчитанные величины отклика по высоте и диаметру для ели обыкновенной необходимо учитывать при регламентации перебросок семян, использовать в прогнозах при адаптации мероприятий лесного хозяйства к предстоящим климатическим изменениям.","Наквасина Е. Н., Прожерина Н. А. ОЦЕНКА ОТКЛИКА НА ИЗМЕНЕНИЕ КЛИМАТА В ОПЫТАХ С ПРОИСХОЖДЕНИЯМИ PICEA ABIES (L.) KARST. × P. OBOVATA (LEDEB.) НА СЕВЕРЕ РУССКОЙ РАВНИНЫ // Известия ВУЗов. Лесной журнал. 2023. №1. URL: https://cyberleninka.ru/article/n/otsenka-otklika-na-izmenenie-klimata-v-opytah-s-proishozhdeniyami-picea-abies-l-karst-p-obovata-ledeb-na-severe-russkoy-ravniny (дата обращения: 13.02.2025).","Наквасина Е.Н., & Прожерина Н.А. (2023). ОЦЕНКА ОТКЛИКА НА ИЗМЕНЕНИЕ КЛИМАТА В ОПЫТАХ С ПРОИСХОЖДЕНИЯМИ PICEA ABIES (L.) KARST. × P. OBOVATA (LEDEB.) НА СЕВЕРЕ РУССКОЙ РАВНИНЫ. Известия высших учебных заведений. Лесной журнал,  (1), 22-37.",https://cyberleninka.ru/article/n/otsenka-otklika-na-izmenenie-klimata-v-opytah-s-proishozhdeniyami-picea-abies-l-karst-p-obovata-ledeb-na-severe-russkoy-ravniny
ЛЕСНОЕ ХОЗЯЙСТВО ТУРЕЦКОЙ РЕСПУБЛИКИ: ОБЗОР,"Паленова М.М., Филипчук А.Н., Югов А.Н., Золина Т.А.",Лесохозяйственная информация,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","лесное хозяйство, лесная политика, управление лесами, лесохозяйственные мероприятия, лесные пожары, турецкая республика",,"Выполнен обзор актуального состояния и ведения лесного хозяйства Турции. Представлены ключевые вопросы управления лесами этой страны. Рассмотрена современная структура управления лесами Турции, отмечены характерные особенности лесных ресурсов страны. Указаны амбициозные задачи, стоящие перед лесным хозяйством страны в отношении лесовосстановления. Рассмотрены показатели в области охраны лесов от пожаров, защиты лесов и т.д. Проанализирована климатическая политика страны в лесной отрасли и принятые обязательства по достижению нулевого уровня выбросов парниковых газов к 2053 г.","Паленова М. М., Филипчук А. Н., Югов А. Н., Золина Т. А. ЛЕСНОЕ ХОЗЯЙСТВО ТУРЕЦКОЙ РЕСПУБЛИКИ: ОБЗОР // Лесохозяйственная информация. 2023. №1. URL: https://cyberleninka.ru/article/n/lesnoe-hozyaystvo-turetskoy-respubliki-obzor (дата обращения: 13.02.2025).","Паленова М.М., Филипчук А.Н., Югов А.Н., & Золина Т.А. (2023). ЛЕСНОЕ ХОЗЯЙСТВО ТУРЕЦКОЙ РЕСПУБЛИКИ: ОБЗОР. Лесохозяйственная информация,  (1), 68-83.",https://cyberleninka.ru/article/n/lesnoe-hozyaystvo-turetskoy-respubliki-obzor
"БОГАРНОЕ ЗЕМЛЕДЕЛИЕ В СТЕПНОЙ И ЛЕСОСТЕПНОЙ ЗОНЕ БАССЕЙНА УРАЛА И АДАПТАЦИЯ АГРОТЕХНОЛОГИЙ К ИЗМЕНЯЮЩЕЙСЯ ВЛАГООБЕСПЕЧЕННОСТИ, КАК СПОСОБ СОХРАНЕНИЯ РЕСУРСОВ ПОВЕРХНОСТНЫХ ВОД","Гулянов Юрий А., Чибилев Александр А.","Юг России: экология, развитие",2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","оптимизация природопользования, климатические изменения, влагообеспеченность посевов, озимая пшеница, методы адаптации",,"Цель. Определение связи урожаев зерна озимой пшеницы с метеорологическими параметрами. Выявление их динамики и современного уровня. Подбор и научное обоснование адаптивных приёмов агротехники. Материал и методы. Ретроспективный анализ метеорологических условий и валовых сборов озимой пшеницы стандартными методами корреляционного и регрессионного анализа. Определение силы связи между данными отдельных массивов. Выявление совместной вариации результативных и факторных признаков путём попарного сравнения их временных рядов. Результаты. Выявлено шесть совместных вариаций временных рядов результативных (валовый сбор зерна) и факторных признаков (гидротермические условия периодов вегетации и структурные показатели посевов) со средней и высокой теснотой корреляционной связи, выраженной в виде уравнений множественной регрессии. Заключение. Результаты проведённых исследований свидетельствуют о тесной прямой связи валовых сборов зерна с урожайностью с уборочной площади (r = 0,79), в свою очередь обратно зависимой (в средней степени) от суммы активных температур воздуха всего периода от посева до уборки (r = 0,64). Из осадков различных периодов вегетации преимущественное прямое влияние на урожайность зерна оказывают осадки холодного периода года (r = 0,49) и всего активного периода вегетации от начала парования до уборки (r = 0,39). Влияние сумм осадков за отдельные короткие периоды вегетации значительно ниже. В сложившихся условиях стабильность производства зерна озимой пшеницы будет определяться адаптивностью агротехнологий к повышающейся засушливости климата, значительно ухудшающей влагообеспеченность растений.","Гулянов Юрий А., Чибилев Александр А. БОГАРНОЕ ЗЕМЛЕДЕЛИЕ В СТЕПНОЙ И ЛЕСОСТЕПНОЙ ЗОНЕ БАССЕЙНА УРАЛА И АДАПТАЦИЯ АГРОТЕХНОЛОГИЙ К ИЗМЕНЯЮЩЕЙСЯ ВЛАГООБЕСПЕЧЕННОСТИ, КАК СПОСОБ СОХРАНЕНИЯ РЕСУРСОВ ПОВЕРХНОСТНЫХ ВОД // Юг России: экология, развитие. 2023. №1 (66). URL: https://cyberleninka.ru/article/n/bogarnoe-zemledelie-v-stepnoy-i-lesostepnoy-zone-basseyna-urala-i-adaptatsiya-agrotehnologiy-k-izmenyayuscheysya (дата обращения: 13.02.2025).","Гулянов Юрий А., & Чибилев Александр А. (2023). БОГАРНОЕ ЗЕМЛЕДЕЛИЕ В СТЕПНОЙ И ЛЕСОСТЕПНОЙ ЗОНЕ БАССЕЙНА УРАЛА И АДАПТАЦИЯ АГРОТЕХНОЛОГИЙ К ИЗМЕНЯЮЩЕЙСЯ ВЛАГООБЕСПЕЧЕННОСТИ, КАК СПОСОБ СОХРАНЕНИЯ РЕСУРСОВ ПОВЕРХНОСТНЫХ ВОД. Юг России: экология, развитие, 18 (1 (66)), 117-125.",https://cyberleninka.ru/article/n/bogarnoe-zemledelie-v-stepnoy-i-lesostepnoy-zone-basseyna-urala-i-adaptatsiya-agrotehnologiy-k-izmenyayuscheysya
ВЛИЯНИЕ ИЗМЕНЕНИЯ КЛИМАТА НА ГЛОБАЛЬНУЮ ПРОДОВОЛЬСТВЕННУЮ БЕЗОПАСНОСТЬ,Жилина Ирина Юрьевна,Экономические и социальные проблемы России,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","изменение климата, парниковые газы, глобальное потепление, агропромышленный комплекс, сельское хозяйство, продукты питания, продовольственная безопасность",,"В статье рассматриваются влияние изменения климата (повышение глобальной температуры, деградация земель, ограниченность водных ресурсов, экстремальные погодные явления) на сельскохозяйственное производство, способы смягчения и адаптации его к климатическим изменениям. Обсуждаются также воздействие самого сельского хозяйства на климат и экосистемы, его роль в обеспечении продовольственной безопасности.",Жилина Ирина Юрьевна ВЛИЯНИЕ ИЗМЕНЕНИЯ КЛИМАТА НА ГЛОБАЛЬНУЮ ПРОДОВОЛЬСТВЕННУЮ БЕЗОПАСНОСТЬ // ЭСПР. 2023. №1 (53). URL: https://cyberleninka.ru/article/n/vliyanie-izmeneniya-klimata-na-globalnuyu-prodovolstvennuyu-bezopasnost (дата обращения: 13.02.2025).,"Жилина Ирина Юрьевна (2023). ВЛИЯНИЕ ИЗМЕНЕНИЯ КЛИМАТА НА ГЛОБАЛЬНУЮ ПРОДОВОЛЬСТВЕННУЮ БЕЗОПАСНОСТЬ. Экономические и социальные проблемы России,  (1 (53)), 166-189.",https://cyberleninka.ru/article/n/vliyanie-izmeneniya-klimata-na-globalnuyu-prodovolstvennuyu-bezopasnost
ЭНЕРГЕТИЧЕСКАЯ И ЭКОНОМИЧЕСКАЯ ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ ТРАВОСТОЕВ ЛУГОВ В ФУНКЦИИ СОХРАНЕНИЯ ЗАПАСОВ УГЛЕРОДА СРЕДНЕГО ПОДЕСЕНЬЯ РОССИИ,"Сычев С.М., Анищенко Л.Н., Малявко Г.П., Семышев М.В., Поцепай С.Н.",Вестник Курской государственной сельскохозяйственной академии,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","травостой лугов, цикл углерода, энергоэффективность, экономическая эффективность, пасторальные сообщества, нечерноземье российской федерации",,"В наиболее антропогенно-освоенном районе Нечерноземья России - Среднем Подесенье - луга занимают ведущее место в агропромышленном комплексе и связывают в единую систему элементы пищевых цепей. Цель исследования: установление закономерностей культивации естественных и сеяных лугов, снижающих энергозатратность и повышающих экономическую эффективность, позволяющих сохранять и восполнять запасы углерода в сообществах при одновременном повышении качества травостоя. Использованы традиционные методы и методики: луговедческие, агроэкономического обоснования и оценки, геоботанические. Установлено, что подбор луговых видов при фиторемедиации и конструировании состава сеяных лугов экономически обоснован. Наибольшая рентабельность зафиксирована при культивировании смешанных посевов семейства бобовых и злаковых - чина луговая + овес посевной (94 %), клевер красный + овсяница луговая (91%), клевер красный + лядвенец рогатый (89 %). Экономически выгоден подбор многолетних мезофитных луговых злаков. Возделывание травосмеси с доминированием райграса многолетнего, тимофеевки луговой уменьшает рентабельность, особенно в чистой культуре; незначительная энергетическая выгода выявлена при культивировании злаковников, сформированными моновидовыми ценозами из ежи сборной, из тимофеевки луговой; использование при конструировании пасторальных сообществ низовых злаков, таких как овсяница луговая (до 60 %) увеличивает рентабельность производства кормов (травостоя). Внедрение эффективных азотфиксаторов в состав травосмесей уменьшает затраты на внесение азотных удобрений и создаёт запас фосфорно-калийных элементов в деятельностном горизонте почв. Рекомендовано пересмотреть направление использования лугов, применять энергетически обоснованный укосно-пастбищный тип.","Сычев С. М., Анищенко Л. Н., Малявко Г. П., Семышев М. В., Поцепай С. Н. ЭНЕРГЕТИЧЕСКАЯ И ЭКОНОМИЧЕСКАЯ ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ ТРАВОСТОЕВ ЛУГОВ В ФУНКЦИИ СОХРАНЕНИЯ ЗАПАСОВ УГЛЕРОДА СРЕДНЕГО ПОДЕСЕНЬЯ РОССИИ // Вестник Курской государственной сельскохозяйственной академии. 2023. №2. URL: https://cyberleninka.ru/article/n/energeticheskaya-i-ekonomicheskaya-effektivnost-ispolzovaniya-travostoev-lugov-v-funktsii-sohraneniya-zapasov-ugleroda-srednego (дата обращения: 13.02.2025).","Сычев С.М., Анищенко Л.Н., Малявко Г.П., Семышев М.В., & Поцепай С.Н. (2023). ЭНЕРГЕТИЧЕСКАЯ И ЭКОНОМИЧЕСКАЯ ЭФФЕКТИВНОСТЬ ИСПОЛЬЗОВАНИЯ ТРАВОСТОЕВ ЛУГОВ В ФУНКЦИИ СОХРАНЕНИЯ ЗАПАСОВ УГЛЕРОДА СРЕДНЕГО ПОДЕСЕНЬЯ РОССИИ. Вестник Курской государственной сельскохозяйственной академии,  (2), 183-192.",https://cyberleninka.ru/article/n/energeticheskaya-i-ekonomicheskaya-effektivnost-ispolzovaniya-travostoev-lugov-v-funktsii-sohraneniya-zapasov-ugleroda-srednego
ДИНАМИКА СОСНОВЫХ НАСАЖДЕНИЙ ЗА 20-ИЙ ПЕРИОД В УСЛОВИЯХ УЧЕБНО-ОПЫТНОГО ЛЕСХОЗА СИБГУ,"Чанчикова С.А., Мельник А.И., Вайс А.А., Козлов Н.В.",Хвойные бореальной зоны,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","сосна, динамика, лесной фонд, лесоустройство, таксационные показатели, углерод",,"Для решения разных хозяйственных задач очень важно знать, как с увеличением возраста изменяются таксационные показатели в насаждениях и различных условиях местопроизрастания, а также количественные и качественные признаки в целом. Исследования предполагали обработку материалов лесоустройства. В качестве исходных данных использовали таксационные показатели за 1982 и 2002 г. Программа исследований включала: изучение динамики лесного фонда по материалам лесоустройства 1982 и 2002 года; исследование средних показателей (возраста, бонитета, полноты и др.); определение динамики таксационных показателей за двадцатилетний период. При оценке распределении лесного фонда по категориям земель как в 1982-м, так и в 2002-м году по площади преобладали покрытые лесной растительностью земли. Относительно среднего запаса и прироста на 1 га самыми высокими показателями характеризовалась сосновая хозсекция, при этом средний запас на 1 га сосновых древостоев за 20 лет вырос на 28 м3*га-1, а средний прирост на 1 га за тот же период на 0,1 м3*га-1. Относительно динамики таксационных показателей сосновых насаждений: запас углерода для преобладающей части выделов изменился от 51,66 тС/га до 91,30 тС/га. При оценке данных в статике линии среднего и текущего прироста не пересекались, что указывает на неоднородность исходного материала, поскольку для оценки динамики использовались как нормальные, так и модальные насаждения. Однако данные в динамике позволили определить, что возраст количественной спелости сосняков Караульного участкового лесничества составляет 70 лет.","Чанчикова С. А., Мельник А. И., Вайс А. А., Козлов Н. В. ДИНАМИКА СОСНОВЫХ НАСАЖДЕНИЙ ЗА 20-ИЙ ПЕРИОД В УСЛОВИЯХ УЧЕБНО-ОПЫТНОГО ЛЕСХОЗА СИБГУ // ХБЗ. 2023. №1. URL: https://cyberleninka.ru/article/n/dinamika-sosnovyh-nasazhdeniy-za-20-iy-period-v-usloviyah-uchebno-opytnogo-leshoza-sibgu (дата обращения: 13.02.2025).","Чанчикова С.А., Мельник А.И., Вайс А.А., & Козлов Н.В. (2023). ДИНАМИКА СОСНОВЫХ НАСАЖДЕНИЙ ЗА 20-ИЙ ПЕРИОД В УСЛОВИЯХ УЧЕБНО-ОПЫТНОГО ЛЕСХОЗА СИБГУ. Хвойные бореальной зоны, 41 (1), 65-72.",https://cyberleninka.ru/article/n/dinamika-sosnovyh-nasazhdeniy-za-20-iy-period-v-usloviyah-uchebno-opytnogo-leshoza-sibgu
ОБЗОР ЭКОЛОГИЧЕСКИ ОБОСНОВАННЫХ ПОДХОДОВ К ПОВЫШЕНИЮ УСТОЙЧИВОСТИ ПОЛЕВЫХ АГРОЛАНДШАФТОВ В ПОСТЦЕЛИННЫХ РЕГИОНАХ РОССИИ,Гулянов Юрий Александрович,Вопросы степеведения,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","степная зона, постцелинные регионы, рациональное природопользование, устойчивость полевых агроландшафтов","steppe zone, post-virgin regions, regional nature management, sustainability of field agricultural landscapes","В статье представлены результаты оценки ландшафтно-экологической устойчивости постцелинных регионов России, актуализирована проблема экологизации использования земель и оптимизации агроландшафтов, проведен анализ, обобщение и оценены перспективы реализации экологически обоснованных приемов повышения их устойчивости и продуктивности. Объектом исследований выступали постцелинные регионы степной зоны России, характеризующиеся разновыраженной природоохранной направленностью современного землепользования и различной устойчивостью агроландшафтов. Сведения о составе и структуре сельскохозяйственного производства в разрезе отдельных регионов получали из открытых источников. Использовались также опросные материалы, результаты наблюдений и их обобщение в процессе экспедиционных исследований 2019-2023 гг. Результаты проведенных исследований подтвердили достаточно низкую ландшафтно-экологическую устойчивость исследуемых регионов ввиду явного преобладания пашни, как главного неустойчивого элемента ландшафта, в структуре земель сельскохозяйственных угодий. Данное обстоятельство в совокупности с игнорированием отдельными сельхозтоваропроизводителями законов земледелия, уходом от реальной технологической модернизации земледелия, стремлением к сокращению издержек путем исключения части обязательных агротехнических приемов, в условиях современных климатических изменений выступает в качестве одного из главных факторов дестабилизации агроландшафтов и является существенным вызовом сохранению биологического разнообразия. Для преодоления указанных негативных проявлений высокую актуальность имеют технологические подходы, имеющие природоподобную (биологическую) основу – расширение видового состава полевых культур, в т.ч. посевов однолетних и многолетних трав; освоение бинарных посевов и сидеральных культур; сохранение пожнивных остатков и внедрение нулевой и минимальной обработок почвы; оптимизация отраслей растениеводства и животноводства, внесение органических удобрений. Целесообразно рассмотрение в качестве перспективных современных наукоемких агроприемов, встроенных в адаптивную, логически выстроенную, цельную систему земледелия, основанную в том числе и на использовании информационных технологий и данных ДЗЗ.",Гулянов Юрий Александрович ОБЗОР ЭКОЛОГИЧЕСКИ ОБОСНОВАННЫХ ПОДХОДОВ К ПОВЫШЕНИЮ УСТОЙЧИВОСТИ ПОЛЕВЫХ АГРОЛАНДШАФТОВ В ПОСТЦЕЛИННЫХ РЕГИОНАХ РОССИИ // Вопросы степеведения. 2023. №2. URL: https://cyberleninka.ru/article/n/obzor-ekologicheski-obosnovannyh-podhodov-k-povysheniyu-ustoychivosti-polevyh-agrolandshaftov-v-posttselinnyh-regionah-rossii (дата обращения: 13.02.2025).,"Гулянов Юрий Александрович (2023). ОБЗОР ЭКОЛОГИЧЕСКИ ОБОСНОВАННЫХ ПОДХОДОВ К ПОВЫШЕНИЮ УСТОЙЧИВОСТИ ПОЛЕВЫХ АГРОЛАНДШАФТОВ В ПОСТЦЕЛИННЫХ РЕГИОНАХ РОССИИ. Вопросы степеведения,  (2), 91-105. doi: 10.24412/2712-8628-2023-2-91-105",https://cyberleninka.ru/article/n/obzor-ekologicheski-obosnovannyh-podhodov-k-povysheniyu-ustoychivosti-polevyh-agrolandshaftov-v-posttselinnyh-regionah-rossii
ИЗМЕНЕНИЕ КЛИМАТА И ЕГО ВЛИЯНИЕ НА ЖИЗНЕННОЕ СОСТОЯНИЕ ЛЕСОСТЕПНЫХ ПОПУЛЯЦИЙ СОСНЫ ОБЫКНОВЕННОЙ РУССКОЙ РАВНИНЫ,Кузнецова Н.Ф.,Лесохозяйственная информация,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","сосна обыкновенная, лесостепь, потепление климата, мониторинг, жизненное состояние, семенная продуктивность",,"Рассмотрены проблемы изменения климата и последствий его воздействия на сосновые леса лесостепного района Русской равнины. Анализ среднегодовых температур показал, что в начале XXI в. регион вступил в фазу быстрых климатических изменений. За последние 15 лет темпы потепления ускорились в 1,7 раза, число засух удвоилось, количество оптимальных лет за 10-летний период снизилось с 8 до 5. Обобщены результаты 35-летнего мониторинга систем семенного размножения сосны обыкновенной (Воронежская обл., Ступинский тест-объект, 30 деревьев). Исходно лесостепные популяции представляли собой устойчивые равновесные системы, и основные элементы семенного размножения - самофертильность, полнозернистость, число семян на шишку - находились в динамическом равновесии со средой обитания. Потепление климата, 8-летняя тепловая волна и засухи вызвали в 2015 г. переход сосновых лесов в более низкое жизненное состояние - слабонеравновесной системы. Установлено, что для возврата в равновесие им потребовалось 3 оптимальных года. В настоящее время северная и центральная популяции находятся в устойчивом равновесии, жизненное состояние южной лесостепной более низкое - неустойчивого равновесия. Дальнейшее потепление климата повышает вероятность повторной дестабилизации сосновых лесов, а уменьшение числа оптимальных лет исключает возвращение в исходное состояние.",Кузнецова Н. Ф. ИЗМЕНЕНИЕ КЛИМАТА И ЕГО ВЛИЯНИЕ НА ЖИЗНЕННОЕ СОСТОЯНИЕ ЛЕСОСТЕПНЫХ ПОПУЛЯЦИЙ СОСНЫ ОБЫКНОВЕННОЙ РУССКОЙ РАВНИНЫ // Лесохозяйственная информация. 2023. №2. URL: https://cyberleninka.ru/article/n/izmenenie-klimata-i-ego-vliyanie-na-zhiznennoe-sostoyanie-lesostepnyh-populyatsiy-sosny-obyknovennoy-russkoy-ravniny (дата обращения: 13.02.2025).,"Кузнецова Н.Ф. (2023). ИЗМЕНЕНИЕ КЛИМАТА И ЕГО ВЛИЯНИЕ НА ЖИЗНЕННОЕ СОСТОЯНИЕ ЛЕСОСТЕПНЫХ ПОПУЛЯЦИЙ СОСНЫ ОБЫКНОВЕННОЙ РУССКОЙ РАВНИНЫ. Лесохозяйственная информация,  (2), 27-42.",https://cyberleninka.ru/article/n/izmenenie-klimata-i-ego-vliyanie-na-zhiznennoe-sostoyanie-lesostepnyh-populyatsiy-sosny-obyknovennoy-russkoy-ravniny
СОВЕРШЕНСТВОВАНИЕ ТЕХНОЛОГИИ ВОЗДЕЛЫВАНИЯ РИСА БЕЗ ПРИМЕНЕНИЯ ГЕРБИЦИДОВ В СВЯЗИ С КЛИМАТИЧЕСКИМИ ИЗМЕНЕНИЯМИ НА ЮГЕ РОССИИ,"Бандурин Михаил Александрович, Приходько Игорь Александрович, Комсюкова Яна Алексеевна",Международный сельскохозяйственный журнал,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","рис, сорная растительность, гербициды, технология возделывания",,"Целью исследования является разработка новых экологически чистых, ресурсосберегающих технологий возделывания риса. Возделывание риса относится к одному из самых ресурсозатратных производств, что в большей степени обусловлено высокими оросительными нормами и необходимостью обработок посевов риса гербицидами. Все эти агроприемы служат одной цели - борьбе с сорной растительностью, которая способна снизить урожай риса до 30%. Все представленные исследования проводились в ЗАО «Черноерковское» Славянского района Краснодарского края в 2020-2022 гг. и основывались на системном анализе, экспериментальных методах и полевых исследованиях с использованием стандартных методик, приборов и оборудования в аттестованных лабораториях. Схема проведения опытов заключалась в сравнении трех вариантов возделывания риса: 1 вариант - возделывание риса на укороченном типе затопления с применением почвенных гербицидов; 2 вариант -безгербицидный, направлен на подавление всходов злаковой сорной растительности водным режимом, то есть слоем воды; 3 вариант -комбинированный, экологически чистый, ресурсосберегающая технология. В результате проведенных исследований были получены положительные результаты, которые выражались в следующих показателях в сравнении с другими вариантами: повышение урожайности риса на 15%; снижение оросительной нормы в 1,8 раза; снижение производственных затрат на 17%, за счет уменьшения числа операций обработки почвы, что, в свою очередь, способствовало дополнительному накоплению аммиачного азота в среднем около 60 кг/га по д.в. Также наблюдалось улучшение биологических показателей растений риса: на 4% в среднем снизилась пустозерность, на 22% увеличилась средняя масса зерна с одного растения, в 1,5-2 раза улучшилась густота стояния растения. Все это свидетельствует об эффективности предлагаемого способа и актуальности проводимых исследований, внедрение которых позволит снизить себестоимость производства риса и повысить его рентабельность, что усилит продовольственную безопасность России и укрепит ее позиции на мировом рынке зерна.","Бандурин Михаил Александрович, Приходько Игорь Александрович, Комсюкова Яна Алексеевна СОВЕРШЕНСТВОВАНИЕ ТЕХНОЛОГИИ ВОЗДЕЛЫВАНИЯ РИСА БЕЗ ПРИМЕНЕНИЯ ГЕРБИЦИДОВ В СВЯЗИ С КЛИМАТИЧЕСКИМИ ИЗМЕНЕНИЯМИ НА ЮГЕ РОССИИ // МСХ. 2023. №3. URL: https://cyberleninka.ru/article/n/sovershenstvovanie-tehnologii-vozdelyvaniya-risa-bez-primeneniya-gerbitsidov-v-svyazi-s-klimaticheskimi-izmeneniyami-na-yuge-rossii (дата обращения: 13.02.2025).","Бандурин Михаил Александрович, Приходько Игорь Александрович, & Комсюкова Яна Алексеевна (2023). СОВЕРШЕНСТВОВАНИЕ ТЕХНОЛОГИИ ВОЗДЕЛЫВАНИЯ РИСА БЕЗ ПРИМЕНЕНИЯ ГЕРБИЦИДОВ В СВЯЗИ С КЛИМАТИЧЕСКИМИ ИЗМЕНЕНИЯМИ НА ЮГЕ РОССИИ. Международный сельскохозяйственный журнал,  (3), 306-310.",https://cyberleninka.ru/article/n/sovershenstvovanie-tehnologii-vozdelyvaniya-risa-bez-primeneniya-gerbitsidov-v-svyazi-s-klimaticheskimi-izmeneniyami-na-yuge-rossii
ПРОГНОЗ ПРОДУКТИВНОСТИ ПОЛЕВЫХ КУЛЬТУР НА ОСНОВЕ ТЕЛЕКОММУНИКАЦИОННЫХ СВЯЗЕЙ,Неверов Александр Алексеевич,Вестник Ульяновской государственной сельскохозяйственной академии,2023,"Сельское хозяйство, лесное хозяйство, рыбное хозяйство","прогноз, телекоммуникация, ячмень, кукуруза, модель",,"Для стабильного производства продукции полевых культур в регионах недостаточного и неустойчивого атмосферного увлажнения с экстремально высокой температурой воздуха большое значение имеет своевременное принятие управленческих решений по минимализации негативных последствий от экстремальных погодных условий. Управление урожаем в подобных условиях возможно только на основе долгосрочного прогнозирования продуктивности полевых культур и метеофакторов в предвегетационный период. В качестве объектов исследования рассматривали многолетние временные ряды урожайности ячменя и кукурузы в Оренбургском районе Оренбургской области (1979-2021 гг.). В качестве основных потенциальных предикторов для статистических моделей прогнозирования урожайности полевых культур использовали: факторы погодных условий региона, аномалии температуры воздуха нижней тропосферы в Северном и Южном полушариях над сушей и океаном, Океании, аномалии площади морского льда в Северном и Южном полушариях, индексы североатлантического колебания (САК) и ряд других индексов, влияющих на формирование глобального климата. В работе использовались принципы синоптико-статистического моделирования В.М. Лебедевой, разработанного в ФГБУ «ВНИИСХМ». Проведён анализ телекоммуникационных связей глобальных климатических аномалий с региональными параметрами продуктивности ячменя и кукурузы степного региона Оренбуржья, показан пример расчёта модели множественной регрессии для прогнозирования урожайности ячменя с учётом глобальных климатических изменений на планете. Температурные аномалии нижней тропосферы Северного полушария, наблюдаемые в отдалённый период времени: ноябре года, предшествующего урожая и январе текущего года, показали сильную телекоммуникационную связь с продуктивностью кукурузы и ячменя за последние 42 года.",Неверов Александр Алексеевич ПРОГНОЗ ПРОДУКТИВНОСТИ ПОЛЕВЫХ КУЛЬТУР НА ОСНОВЕ ТЕЛЕКОММУНИКАЦИОННЫХ СВЯЗЕЙ // Вестник Ульяновской ГСХА. 2023. №1 (61). URL: https://cyberleninka.ru/article/n/prognoz-produktivnosti-polevyh-kultur-na-osnove-telekommunikatsionnyh-svyazey (дата обращения: 13.02.2025).,"Неверов Александр Алексеевич (2023). ПРОГНОЗ ПРОДУКТИВНОСТИ ПОЛЕВЫХ КУЛЬТУР НА ОСНОВЕ ТЕЛЕКОММУНИКАЦИОННЫХ СВЯЗЕЙ. Вестник Ульяновской государственной сельскохозяйственной академии,  (1 (61)), 20-27.",https://cyberleninka.ru/article/n/prognoz-produktivnosti-polevyh-kultur-na-osnove-telekommunikatsionnyh-svyazey
