Title,Russian Keywords,Annotation,Link,Title_found_phrases,Russian Keywords_found_phrases,Annotation_found_phrases
"['бактериальный', 'патоген', 'картофель', 'род', 'минь', 'обзор', 'систематик', 'этиология', 'заболевание']","['картофель', 'бактериоз', 'черный', 'ножка', 'мягкий', 'гниль']","['последний', 'год', 'российский', 'федерация', 'отмечать', 'значительный', 'изменение', 'видовой', 'состав', 'возбудитель', 'бактериоз', 'картофель', 'усиление', 'вредоносность', 'это', 'связать', 'завоз', 'страна', 'инфицировать', 'посадочный', 'материал', 'климатический', 'изменение', 'благоприятный', 'развитие', 'бактериоз', 'перезимовка', 'патоген', 'переносчик', 'насекомое', 'клещ', 'нематода', 'также', 'отсутствие', 'интегрировать', 'защита', 'растение', 'препарат', 'бактерицидный', 'действие', 'бактерия', 'семейство', 'вызывать', 'черный', 'ножка', 'гниль', 'стебель', 'поле', 'мягкий', 'гниль', 'картофель', 'хранилище', 'умеренный', 'широта', 'основный', 'возбудитель', 'бактериоз', 'картофель', 'считаться', 'вид', 'род', 'возбудитель', 'черный', 'ножка', 'картофель', 'возбудитель', 'мягкий', 'гниль', 'картофель', 'овощной', 'культура', 'игнат', 'соавт', 'однако', 'последний', 'год', 'многий', 'страна', 'отметить', 'поражение', 'картофель', 'новый', 'представитель', 'род', 'который', 'долгий', 'время', 'считать', 'возбудитель', 'болезнь', 'декоративный', 'овощной', 'культура', 'подробный', 'изучение', 'возбудитель', 'род', 'показать', 'группа', 'бактерия', 'поражать', 'многий', 'вид', 'растение', 'включая', 'экономически', 'важный', 'сельскохозяйственный', 'культура', 'соавт', 'штамм', 'различаться', 'круг', 'растение', 'хозяин', 'патогенность', 'фенотипический', 'свойство', 'установить', 'европейский', 'штамм', 'выделить', 'картофель', 'год', 'основный', 'относиться', 'вид', 'приспособить', 'регион', 'умеренный', 'климат', 'менее', 'год', 'вариант', 'биотип', 'отнести', 'новый', 'вид', 'обнаружить', 'картофель', 'европа', 'стать', 'наиболее', 'агрессивный', 'патоген', 'культура', 'уточнение', 'таксономический', 'положение', 'разнообразие', 'внутри', 'вид', 'род', 'сhrysаnthеmi', 'давать', 'основание', 'разработка', 'новый', 'метод', 'диагностик', 'борьба', 'фитопатоген', 'соавт', 'исключение', 'вид', 'род', 'мочь', 'поражать', 'картофель', 'ряд', 'область', 'европейский', 'часть', 'россия', 'выделить', 'диагностировать', 'штамм', 'карл', 'соавт', 'лазарев', 'секвенирование', 'геном', 'который', 'показать', 'идентичность', 'бактерия', 'изолировать', 'некоторый', 'страна', 'западный', 'европа', 'латинский', 'америка', 'виноградов', 'соавт', 'считаться', 'переслать', 'картофель', 'овощной', 'культура', 'начало', 'год', 'поражать', 'растение', 'большинство', 'европейский', 'страна', 'сша', 'южный', 'америка', 'африка', 'азия', 'территория', 'россия', 'бактерия', 'стать', 'причина', 'серьезный', 'потеря', 'урожай', 'картофель', 'последний', 'год', 'год', 'отметить', 'ежегодный', 'кратный', 'увеличение', 'зараженность', 'партия', 'картофель', 'патоген', 'образ', 'год', 'распространенность', 'возбудитель', 'род', 'партия', 'семенной', 'картофель', 'россия', 'возрасти', 'игнат', 'соавт', 'защита', 'картофель', 'патоген', 'основать', 'выбраковка', 'заразить', 'материал', 'профилактика', 'заражение', 'весь', 'этап', 'технологический', 'цикл', 'семеноводство', 'картофель', 'устойчивый', 'сорт', 'пока', 'обнаружить']",https://cyberleninka.ru/article/n/bakterialnye-patogeny-kartofelya-roda-dickeya-mini-obzor-po-sistematike-i-etiologii-zabolevaniy,,,климатический изменение
"['ландшафтный', 'изменение', 'переход', 'плейстоцен', 'голоцен', 'динамика', 'ареал', 'крупный', 'травоядный', 'млекопитающее', 'северный', 'азия']","['ареал', 'глобальный', 'изменение', 'местообитание', 'степь', 'травоядный', 'тундра']","['работа', 'посвятить', 'влияние', 'сокращение', 'степной', 'тундровый', 'ландшафт', 'северный', 'азия', 'ход', 'климатический', 'изменение', 'поздний', 'плейстоцен', 'голоцен', 'ареал', 'крупный', 'травоядный', 'млекопитающее', 'оценить', 'связь', 'комплекс', 'видовой', 'характеристика', 'травоядный', 'ландшафтный', 'приуроченность', 'установить', 'помимо', 'монгольский', 'дзерен', 'сайга', 'овцебык', 'сократить', 'ареал', 'время', 'позднечетвертичный', 'ландшафтный', 'изменение', 'мочь', 'снежный', 'баран', 'предок', 'домашний', 'овца', 'коза', 'вероятно', 'амурский', 'горал', 'расширение', 'ареал', 'пятнистый', 'олень', 'объяснить', 'сокращение', 'открытый', 'ландшафт', 'связанный', 'исключительно', 'лесной', 'ландшафт', 'кабарга', 'любой', 'значительный', 'изменение', 'ареал', 'косуля', 'благородный', 'олень', 'северный', 'олень', 'лось', 'кабан', 'первобытный', 'бизон', 'мамонт', 'шерстистый', 'носорог', 'также', 'предковый', 'вероятно', 'родственный', 'форма', 'домашний', 'лошадь', 'корова', 'год', 'назад', 'мочь', 'непосредственно', 'обусловить', 'ландшафтный', 'изменение', 'хронологически', 'соответствовать']",https://cyberleninka.ru/article/n/landshaftnye-izmeneniya-na-perehode-pleystotsen-golotsen-i-dinamika-arealov-krupnyh-travoyadnyh-mlekopitayuschih-severnoy-azii,,,климатический изменение
"['макрофитобентос', 'новороссийский', 'бухта', 'черный', 'море', 'деградация', 'условие', 'хозяйственный', 'деятельность', 'климатический', 'изменение']","['загрязнение', 'изменение', 'климат', 'макроводоросль', 'новороссийский', 'бухта', 'черный', 'море']","['трансформация', 'структура', 'фитобентос', 'новороссийский', 'бухта', 'начаться', 'середина', 'иметь', 'черта', 'дегрессивный', 'сукцессия', 'начало', 'начаться', 'реконструкция', 'расширение', 'новороссийский', 'морской', 'порт', 'обозначить', 'необходимость', 'оценить', 'состояние', 'макрофитобентос', 'начало', 'масштабный', 'изменение', 'прибрежный', 'зона', 'акватория', 'бухта', 'мониторинг', 'макрофитобентос', 'бухта', 'летний', 'период', 'показать', 'наличие', 'вид', 'водоросль', 'макрофит', 'зеленый', 'красный', 'бурый', 'число', 'вид', 'преобладать', 'представитель', 'роды', 'больший', 'видовой', 'разнообразие', 'отметить', 'относительно', 'чистый', 'удаленный', 'портовый', 'акватория', 'участок', 'восточный', 'западный', 'прибрежье', 'индекс', 'разнообразие', 'шеннон', 'акватория', 'порт', 'составить', 'западный', 'берег', 'восточный', 'берег', 'биомасса', 'водоросль', 'новороссийский', 'бухта', 'изменяться', 'значительный', 'диапазон', 'район', 'порт', 'средний', 'часть', 'бухта', 'выход', 'бухта', 'конец', 'видовой', 'разнообразие', 'фитобентос', 'новороссийский', 'бухта', 'уменьшиться', 'сравнение', 'основный', 'счет', 'холодноводный', 'группа', 'водоросль', 'настоящий', 'время', 'преобладать', 'полия', 'мезосапробионтный', 'вид', 'тепловодный', 'комплекс', 'сравнение', 'сократиться', 'площадь', 'бурый', 'водоросль', 'основный', 'эдификатор', 'средообразующий', 'вид', 'заросль', 'средиземноморский', 'тип', 'фон', 'потепление', 'поверхностный', 'слой', 'вода', 'черный', 'море', 'негативный', 'действие', 'это', 'фактор', 'сообщество', 'неразумный', 'хозяйственный', 'деятельность', 'мочь', 'привести', 'полный', 'исчезновение', 'многолетний', 'черноморский', 'сообщество', 'водоросль', 'новороссийский', 'бухта']",https://cyberleninka.ru/article/n/makrofitobentos-novorossiyskoy-buhty-chernoe-more-degradatsiya-v-usloviyah-hozyaystvennoy-deyatelnosti-i-klimaticheskih-izmeneniy,климатический изменение,,
"['современный', 'состояние', 'растительность', 'мордовский', 'государственный', 'природный', 'заповедник', 'смидович', 'тенденция', 'трансформация', 'современный', 'условие']","['динамика', 'растительность', 'мордовский', 'заповедник', 'сосновый', 'лес', 'липовый', 'лес', 'широколиственый', 'лес', 'сукцессия', 'климатический', 'изменение']","['статья', 'рассмотреть', 'состояние', 'растительный', 'покров', 'мордовский', 'государственный', 'заповедник', 'состояние', 'подробно', 'рассмотреть', 'особенность', 'сообщество', 'различный', 'тип', 'особый', 'внимание', 'уделить', 'современный', 'процесс', 'изменение', 'растительность', 'влияние', 'смена', 'экологический', 'условие', 'обследовать', 'тип', 'лес', 'открытый', 'пространство', 'число', 'состояние', 'который', 'определить', 'воздействие', 'климатический', 'изменение', 'экосистема', 'заповедник', 'современный', 'динамика', 'сообщество', 'различный', 'тип', 'выявить', 'тенденция', 'обусловить', 'естественный', 'климатический', 'изменение', 'выявить', 'основной', 'тенденция', 'современный', 'динамика', 'различный', 'тип', 'сообщество', 'обусловить', 'естественный', 'климатический', 'изменение', 'показать', 'климатический', 'изменение', 'последний', 'десятилетие', 'оказывать', 'значительный', 'влияние', 'состав', 'структура', 'растительность', 'заповедник', 'соотношение', 'площадь', 'лес', 'различный', 'породный', 'состав', 'история', 'существование', 'заповедник', 'постоянно', 'меняться', 'вызвать', 'это', 'изменение', 'граница', 'заповедник', 'пожар', 'современный', 'изменение', 'климатический', 'условие', 'последний', 'фактор', 'влиять', 'увлажнение', 'температурный', 'режим', 'экосистема', 'заповедник', 'уровень', 'грунтовый', 'вода', 'также', 'режим', 'затопление', 'пойма', 'изменение', 'климат', 'средний', 'россия', 'происходить', 'начало', 'год', 'век', 'описывать', 'гумидный', 'потепление', 'связать', 'общий', 'тенденция', 'потепление', 'особенно', 'зимний', 'период', 'увеличение', 'осадки', 'сокращение', 'весенний', 'половодье', 'изменение', 'показывать', 'статья', 'отражаться', 'структура', 'состав', 'растительный', 'сообщество', 'расположить', 'долинный', 'водораздельный', 'территория', 'основный', 'диагностический', 'изменение', 'свидетельствующий', 'идти', 'сукцессия', 'выделить', 'формирование', 'густой', 'ярус', 'подрост', 'второй', 'ярус', 'древостой', 'липа', 'фон', 'изреживания', 'первый', 'древесный', 'ярус', 'закустаривание', 'зарастание', 'пойменный', 'луг', 'также', 'отметить', 'формирование', 'моновидовой', 'бедный', 'вид', 'сообщество', 'сложить', 'травяный', 'кустарничковый', 'ярус', 'вид', 'индикатор', 'повышение', 'стабилизация', 'уровень', 'грунтовый', 'вода', 'антропогенный', 'влияние', 'экосистема', 'мордовский', 'заповедник', 'минимально', 'всѐ', 'вышеперечисленный', 'являться', 'следствие', 'современный', 'естественный', 'первый', 'очередь', 'климатический', 'изменение']",https://cyberleninka.ru/article/n/sovremennoe-sostoyanie-rastitelnosti-mordovskogo-gosudarstvennogo-prirodnogo-zapovednika-im-p-g-smidovicha-i-tendentsii-eyo,,климатический изменение,климатический изменение
"['ландшафтный', 'структура', 'северный', 'часть', 'белорецкий', 'участок', 'тигирекский', 'заповедник']","['вид', 'урочище', 'высотный', 'полоса', 'вид', 'ландшафт', 'ландшафтный', 'картографирование', 'русский', 'алтай', 'алтайский', 'край']","['статья', 'приводиться', 'ландшафтный', 'карта', 'уровень', 'вид', 'урочище', 'северный', 'часть', 'белорецкий', 'участок', 'тигирекский', 'заповедник', 'карта', 'сопровождаться', 'подробный', 'легенда', 'статистический', 'характеристика', 'слагать', 'контур', 'отметить', 'ряд', 'интересный', 'особенность', 'ландшафтный', 'структура', 'территория', 'который', 'наряду', 'конкретный', 'геосистема', 'индикатор', 'мочь', 'иметь', 'ключевой', 'значение', 'экологический', 'мониторинг', 'климатический', 'изменение']",https://cyberleninka.ru/article/n/landshaftnaya-struktura-severnoy-chasti-beloretskogo-uchastka-tigirekskogo-zapovednika,,,климатический изменение
"['фенологический', 'ответ', 'климатический', 'изменение']","['фенологический', 'фаза', 'фенологический', 'сдвиг', 'вегетационный', 'период', 'климат']","['фенология', 'растение', 'важный', 'направление', 'исследование', 'стык', 'ботаник', 'экология', 'позволять', 'дать', 'дополнительный', 'информация', 'явление', 'происходить', 'природа', 'связь', 'изменение', 'климат', 'интересный', 'пример', 'стать', 'наблюдение', 'растение', 'интродуцент', 'находиться', 'уязвимый', 'положение', 'предел', 'естественный', 'ареал', 'чутко', 'реагировать', 'изменение', 'среда', 'проанализировать', 'данные', 'многолетний', 'фенологический', 'наблюдение', 'ценный', 'декоративный', 'интродуцент', 'условие', 'дальний', 'восток', 'россия', 'оценить', 'влияние', 'климатический', 'фактор', 'показать', 'характер', 'зависимость', 'наступление', 'продолжительность', 'фенологический', 'фаза', 'меняться', 'климатический', 'фактор', 'отметить', 'высокий', 'зависимость', 'фаза', 'цветение', 'температура', 'воздух', 'изменяться', 'фенодата', 'продолжительность', 'процесс', 'цветение', 'сравнение', 'период', 'начало', 'цветение', 'сместиться', 'ранний', 'срок', 'объяснить', 'изменение', 'температурный', 'фон', 'период', 'продолжительность', 'вегетационный', 'период', 'увеличиться', 'среднее', 'день', 'увеличение', 'срок', 'вегетация', 'произойти', 'счет', 'смещение', 'начало', 'набухание', 'почка', 'ранний', 'дата', 'листопад', 'поздний', 'образ', 'статья', 'показать', 'проанализировать', 'сдвиг', 'фенологический', 'ритм', 'демонстрировать', 'характер', 'зависимость', 'климатический', 'фактор', 'текущий', 'климатический', 'изменение']",https://cyberleninka.ru/article/n/fenologicheskiy-otvet-magnolia-sieboldii-k-koch-na-klimaticheskie-izmeneniya,климатический изменение,,климатический изменение
"['микробный', 'сообщество', 'почва', 'российский', 'полярный', 'станция', 'восточный', 'антарктида']","['антарктида', 'почва', 'бактерия', 'гриб', 'биомасса', 'микроорганизм', 'биологический', 'активность']","['изучение', 'микробный', 'сообщество', 'почва', 'антарктида', 'являться', 'исключительно', 'важный', 'направление', 'исследование', 'который', 'позволять', 'расширить', 'наш', 'знание', 'участие', 'микроорганизм', 'первичный', 'почвообразование', 'особенность', 'формирование', 'микробный', 'сообщество', 'экстремальный', 'местообитание', 'представлять', 'значительный', 'интерес', 'направить', 'поиск', 'микроорганизм', 'потенциальный', 'объект', 'биотехнология', 'настоящий', 'обзор', 'обобщить', 'результат', 'многолетний', 'комплексный', 'исследование', 'микробный', 'сообщество', 'почва', 'российский', 'полярный', 'станция', 'восточный', 'антарктида', 'оазис', 'ширмахер', 'станция', 'новолазаревский', 'холм', 'ларсеманна', 'станция', 'прогресс', 'холм', 'талый', 'станция', 'молодежный', 'впервые', 'это', 'регион', 'провести', 'оценка', 'биомасса', 'почвенный', 'микроорганизм', 'помощь', 'метод', 'прямой', 'микроскопия', 'общий', 'запас', 'микробный', 'биомасса', 'небольшой', 'состав', 'доминировать', 'гриб', 'особенность', 'антарктический', 'почва', 'являться', 'высокий', 'содержание', 'морфологический', 'разнообразие', 'мелкий', 'форма', 'микроорганизм', 'гриб', 'представить', 'преимущественно', 'одноклеточный', 'структура', 'спора', 'малый', 'размер', 'дрожжи', 'бактерия', 'фильтроваться', 'форма', 'время', 'микроорганизм', 'мочь', 'вносить', 'существенный', 'вклад', 'важный', 'экологический', 'функция', 'почва', 'эмиссия', 'парниковый', 'газ', 'особенно', 'теплый', 'период', 'год', 'достижение', 'почва', 'стойкий', 'положительный', 'температура', 'это', 'следовать', 'учитывать', 'создание', 'модель', 'прогноз', 'глобальный', 'потепление', 'климат', 'использование', 'различный', 'метод', 'изоляция', 'анализ', 'микробный', 'население', 'почва', 'число', 'сукцессионный', 'подход', 'позволять', 'существенно', 'расширить', 'представление', 'таксономический', 'разнообразие', 'культивировать', 'гриб', 'бактерия', 'почва', 'антарктида']",https://cyberleninka.ru/article/n/mikrobnye-soobschestva-pochv-rossiyskih-polyarnyh-stantsiy-vostochnoy-antarktidy,,,парниковый газ
"['состав', 'структура', 'фитопланктон', 'прибрежный', 'центральный', 'часть', 'арахлей', 'забайкальский', 'край', 'весенний', 'летний', 'сезон']","['фитопланктон', 'структура', 'количественный', 'характеристика', 'пелагиаль', 'литораль', 'арахлей', 'забайкальский', 'край']","['мелководный', 'прибрежный', 'зона', 'больший', 'степень', 'подверженный', 'антропогенный', 'воздействие', 'выполнять', 'функция', 'барьер', 'водосборный', 'территория', 'пелагический', 'район', 'водоем', 'результат', 'гидробиологический', 'обследование', 'арахлей', 'весна', 'лето', 'изучить', 'таксономический', 'структура', 'доминирующий', 'комплекс', 'экологический', 'характеристика', 'количественный', 'показатель', 'фитопланктон', 'прибрежный', 'центральный', 'часть', 'озеро', 'установить', 'фитопланктон', 'озеро', 'насчитывать', 'таксон', 'ранг', 'ниже', 'род', 'основа', 'составлять', 'представитель', 'четыре', 'отдел', 'диатомовый', 'зеленый', 'золотистый', 'цианобактерия', 'наиболее', 'часто', 'встречать', 'вид', 'прибрежье', 'открытый', 'часть', 'озеро', 'отнести', 'вид', 'который', 'половина', 'постоянный', 'весенний', 'летний', 'планктон', 'сравнительный', 'анализ', 'флористический', 'состав', 'водоросль', 'планктон', 'пелагический', 'литоральный', 'часть', 'обнаружить', 'схожесть', 'коэффициент', 'сходство', 'применение', 'кластерный', 'анализ', 'позволить', 'выявить', 'альгоценоз', 'сходный', 'биотоп', 'водоем', 'заплесковый', 'зона', 'больший', 'количество', 'представитель', 'отдел', 'группа', 'станция', 'мелководье', 'низкий', 'таксономический', 'разнообразие', 'преобладание', 'бентосный', 'форма', 'диатомея', 'группа', 'станция', 'высокий', 'водный', 'растительность', 'высокий', 'разнообразие', 'золотистый', 'водоросль', 'низкий', 'хлорококковый', 'присутствие', 'планктон', 'факультативный', 'планктонный', 'вид', 'станция', 'глубоководный', 'зона', 'высокий', 'разнообразие', 'хлорококковый', 'водоросль', 'неравномерность', 'распределение', 'количественный', 'характеристика', 'обусловить', 'расположение', 'пояс', 'растительность', 'изучать', 'часть', 'арахлей', 'отметить', 'тенденция', 'возрастание', 'численность', 'биомасса', 'фитопланктон', 'станция', 'отсутствие', 'высокий', 'водный', 'растительность', 'станция', 'присутствие', 'растение', 'высокий', 'значение', 'индекс', 'шеннон', 'пиел', 'указывать', 'сложность', 'структура', 'высокий', 'биоразнообразие', 'фитопланктонный', 'сообщество', 'сезонный', 'распределение', 'демонстрировать', 'отклик', 'фитопланктоценоз', 'природный', 'климатический', 'изменение', 'условие', 'среда']",https://cyberleninka.ru/article/n/sostav-i-struktura-fitoplanktona-pribrezhnoy-i-tsentralnoy-chastey-oz-arahley-zabaykalskiy-kray-v-vesenne-letniy-sezon-2017-g,,,климатический изменение
"['жизненный', 'цикл', 'рачок', 'онежский', 'озеро']","['веслоногий', 'рачок', 'жизненный', 'цикл', 'зоопланктон', 'онежский', 'озеро', 'республика', 'карелия']","['условие', 'изменение', 'климат', 'сдвиг', 'сезонный', 'срок', 'особый', 'актуальность', 'приобретать', 'исследование', 'годовой', 'цикличность', 'планктон', 'основный', 'компонент', 'являться', 'основный', 'вид', 'доминантный', 'комплекс', 'пелагический', 'зоопланктон', 'онежский', 'озеро', 'присутствовать', 'немой', 'круглогодично', 'участвовать', 'формирование', 'биоресурсы', 'являться', 'важный', 'элемент', 'кормовой', 'баз', 'рыба', 'планктонофаг', 'основа', 'многолетний', 'наблюдение', 'выполнить', 'анализ', 'жизненный', 'цикл', 'популяция', 'рачок', 'разный', 'район', 'онежский', 'озеро', 'получить', 'среднемноголетний', 'траектория', 'сезонный', 'динамик', 'численность', 'возрастной', 'группа', 'показать', 'дициклический', 'характер', 'популяционный', 'динамик', 'сохраняться', 'центральный', 'часть', 'водоем', 'крупный', 'залив', 'иметь', 'свой', 'особенность', 'связанный', 'термический', 'режим', 'уровень', 'трофия', 'трофический', 'обстановка', 'определять', 'летний', 'численность', 'биомасса', 'популяция', 'рачок', 'который', 'различаться', 'район', 'максимальный', 'показатель', 'отметить', 'кондопожский', 'губа', 'связать', 'антропогенный', 'эвтрофирование', 'жизненный', 'цикл', 'популяция', 'петрозаводский', 'губа', 'иметь', 'особенность', 'связанный', 'гидродинамический', 'режим', 'залив', 'подробно', 'изучить', 'состояние', 'популяция', 'подледный', 'период', 'показать', 'начало', 'размножение', 'зависеть', 'состояние', 'лед', 'снежный', 'покров', 'немой', 'отметить', 'скопление', 'рачок', 'пелагиаль', 'центральный', 'часть', 'озеро', 'июнь', 'сравнение', 'данные', 'прошлый', 'век', 'показать', 'несмотря', 'колебание', 'антропогенный', 'нагрузка', 'климатический', 'изменение', 'последний', 'десятилетие', 'заметный', 'изменение', 'характер', 'годовой', 'цикличность', 'отметить']",https://cyberleninka.ru/article/n/zhiznennyy-tsikl-rachka-eudiaptomus-gracilis-sars-1863-v-onezhskom-ozere,,,климатический изменение
"['функциональный', 'экология', 'лишайник', 'таежный', 'зона', 'европейский', 'северо', 'восток', 'россия']","['лишайник', 'экологический', 'физиология', 'газообмен', 'среда', 'таежный', 'зона', 'европейский', 'северо', 'восток']","['изучить', 'показатель', 'жизнедеятельность', 'крупнолистоватый', 'эпифитный', 'лишайник', 'условие', 'таежный', 'зона', 'европейский', 'северо', 'восток', 'россия', 'выявить', 'сезонный', 'изменение', 'липидный', 'пигментный', 'комплекс', 'температура', 'замерзание', 'вод', 'таллом', 'полевой', 'лабораторный', 'условие', 'исследовать', 'зависимость', 'газообмен', 'оводненность', 'освещенность', 'таллом', 'показать', 'успешный', 'адаптация', 'условие', 'обитание', 'сезонный', 'изменение', 'основный', 'фактор', 'среда', 'значительный', 'степень', 'обусловить', 'функциональный', 'свойство', 'лишайник', 'благодаря', 'довольно', 'широко', 'распространить', 'таежный', 'зона', 'республика', 'коми', 'старовозрастной', 'осинник', 'являться', 'обычный', 'эпифитный', 'вид', 'получить', 'результат', 'следовать', 'учитывать', 'разработка', 'мероприятие', 'охрана', 'мониторинг', 'прогнозирование', 'состояние', 'популяция', 'лишайник', 'глобальный', 'климатический', 'изменение']",https://cyberleninka.ru/article/n/funktsionalnaya-ekologiya-lishaynika-lobaria-pulmo-naria-l-hoffm-v-taezhnoy-zone-na-evropeyskom-severo-vostoke-rossii,,,климатический изменение
